episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
10476.118554532299,-3243.591831419119,2648.5495326209407,4500.0,0,22600,False,248600,48,11,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-46-28,1707414388,17.2569739818573,255.73869252204895,1908,Kurukshetra,192.168.68.14,255.73869252204895,248600,11,8,6106dcf6,0,247808,248600,22290.584,2.43,317.732,3.499,33.176,23.8,0.00019531250291038305,4.999999873689376e-05,4387.527,5.9805134e-05,4387.5522,0.14063883,0.000107508036,1.5185443,0.016850000247359276
10476.118554532299,-3243.591831419119,3295.2120592978126,4500.0,8,22600,False,271200,56,12,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-46-55,1707414415,26.854734420776367,282.5934269428253,1908,Kurukshetra,192.168.68.14,282.5934269428253,271200,12,8,6106dcf6,0,270336,271200,22300.747,2.447,318.102,3.501,33.53947368421053,23.799999999999994,9.765625145519152e-05,4.999999873689376e-05,2837.9575,-0.00058126386,2837.9841,0.13315529,0.00033081826,1.5902745,0.01628500036895275
11755.267758332944,-3243.591831419119,3788.230642050714,4500.0,8,22600,False,293800,64,13,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-47-22,1707414442,26.865665912628174,309.4590928554535,1908,Kurukshetra,192.168.68.14,309.4590928554535,293800,13,8,6106dcf6,0,292864,293800,23362.073,2.446,317.63,3.585,33.84473684210527,23.79473684210526,4.882812572759576e-05,4.999999873689376e-05,4003.9346,-0.00032571287,4003.9587,0.0038935193,0.00014297548,1.5196986,0.015720000490546227
11755.267758332944,-3243.591831419119,3788.230642050714,4500.0,0,22600,False,316400,64,14,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-47-39,1707414459,16.75321388244629,326.2123067378998,1908,Kurukshetra,192.168.68.14,326.2123067378998,316400,14,8,6106dcf6,0,315392,316400,22440.69,2.451,317.202,3.627,33.375,23.8,2.441406286379788e-05,4.999999873689376e-05,4663.886,-0.00014209916,4663.909,0.0005388565,0.00021433782,1.525116,0.015154999680817127
11755.267758332944,-3243.591831419119,4246.835013792444,4500.0,8,22600,False,339000,72,15,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-48-05,1707414485,26.30732798576355,352.51963472366333,1908,Kurukshetra,192.168.68.14,352.51963472366333,339000,15,8,6106dcf6,0,337920,339000,22468.881,2.456,317.331,3.621,32.92368421052631,23.799999999999994,1.220703143189894e-05,4.999999873689376e-05,2527.4685,0.00017639385,2527.4915,0.0002690276,0.0002340956,1.5979282,0.014589999802410603
11755.267758332944,-3243.591831419119,4570.132355296149,4500.0,8,22600,False,361600,80,16,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-48-31,1707414511,26.60745668411255,379.1270914077759,1908,Kurukshetra,192.168.68.14,379.1270914077759,361600,16,8,6106dcf6,0,360448,361600,23509.425,2.462,316.715,3.639,33.42631578947368,23.799999999999994,6.10351571594947e-06,4.999999873689376e-05,4197.8105,-0.00028511102,4197.8325,0.00013719703,2.2911525e-05,1.5255436,0.014024999924004078
11755.267758332944,-3243.591831419119,4570.132355296149,4500.0,0,22600,False,384200,80,17,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-48-48,1707414528,16.518919229507446,395.6460106372833,1908,Kurukshetra,192.168.68.14,395.6460106372833,384200,17,8,6106dcf6,0,382976,384200,22531.54,2.458,316.623,3.711,34.09130434782608,23.8,3.051757857974735e-06,4.999999873689376e-05,3865.2756,-0.00077676366,3865.297,9.85722e-05,0.00018989017,1.5594006,0.013460000045597553
11755.267758332944,-3243.591831419119,4900.437286755207,4500.0,8,22600,False,406800,88,18,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-49-15,1707414555,26.705061435699463,422.3510720729828,1908,Kurukshetra,192.168.68.14,422.3510720729828,406800,18,8,6106dcf6,0,405504,406800,22487.213,2.479,317.085,3.698,33.534210526315796,23.797368421052624,1.5258789289873675e-06,4.999999873689376e-05,3927.885,-0.00027921188,3927.9055,7.886914e-05,0.00033236755,1.5532616,0.012895000167191029
11755.267758332944,-3243.591831419119,4949.626640113205,4500.0,1,22600,False,429400,89,19,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-49-35,1707414575,20.51601815223694,442.8670902252197,1908,Kurukshetra,192.168.68.14,442.8670902252197,429400,19,8,6106dcf6,0,428032,429400,22851.149,2.46,317.303,3.696,28.563333333333333,23.799999999999994,7.629394644936838e-07,4.999999873689376e-05,4762.7285,-0.00013502417,4762.7466,4.9626964e-05,0.00021198843,1.488325,0.012330000288784504
12123.901409358508,-3243.591831419119,5236.219830622512,4500.0,7,22600,False,452000,96,20,fc45e5b6017f4e5db8ed10f9362a3190,2024-02-08_12-50-00,1707414600,25.180089473724365,468.0471796989441,1908,Kurukshetra,192.168.68.14,468.0471796989441,452000,20,8,6106dcf6,0,450560,452000,22628.032,2.479,316.626,3.626,33.34166666666667,23.797222222222217,3.814697322468419e-07,4.999999873689376e-05,4540.6226,-0.0005691698,4540.6406,4.19742e-05,0.00033416238,1.4979343,0.01176500041037798
