episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/cur_kl_coeff,info/learner/shared_policy/cur_lr,info/learner/shared_policy/total_loss,info/learner/shared_policy/policy_loss,info/learner/shared_policy/vf_loss,info/learner/shared_policy/vf_explained_var,info/learner/shared_policy/kl,info/learner/shared_policy/entropy,info/learner/shared_policy/entropy_coeff
-1936074.0691215391,-2216268.584767365,-2084542.9083830237,1300.0,8,10400,False,10400,8,1,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-08-41,1710212921,393.10464811325073,393.10464811325073,24869,COM2134,172.19.177.241,393.10464811325073,10400,1,4,e71df748,0,-15749.038326414302,518.2398023605347,-6355.313745070194,128.77144741581202,6.858621684921013,0.8215640930430974,1748480,10400,367402.958,409.998,24693.572,372.645,24.536720142602494,30.825311942959,0.20000000298023224,9.999999747378752e-05,80779.09,-0.004811168,80779.24,2.800934e-06,0.008659512,1.4469299,0.10000000149011612
-1389399.0191971813,-2216268.584767365,-1786097.9006689761,1300.0,8,10400,False,20800,16,2,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-14-15,1710213255,333.1971821784973,726.301830291748,24869,COM2134,172.19.177.241,726.301830291748,20800,2,4,e71df748,0,-15749.038326414302,518.2398023605347,-6071.290930678483,124.16325910147368,6.662831964862102,0.8236031171620086,3227904,20800,339770.514,334.75,22657.325,187.869,24.81512605042017,33.733403361344536,0.10000000149011612,9.480000153416768e-05,57416.676,-0.005153466,57416.816,5.1700763e-06,0.010602376,1.4727974,0.09167999774217606
-958441.9104675567,-2216268.584767365,-1537757.7979674663,1300.0,8,10400,False,31200,24,3,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-18-51,1710213531,276.7664227485657,1003.0682530403137,24869,COM2134,172.19.177.241,1003.0682530403137,31200,3,4,e71df748,0,-15749.038326414302,518.2398023605347,-5801.03539000616,119.55205191737086,6.468957753156469,0.8211296187718212,4486144,31200,312817.301,294.678,20935.831,126.29,24.400506329113927,33.81417721518987,0.10000000149011612,8.959999831859022e-05,38672.793,-0.004447393,38672.92,-7.706765e-09,0.008700879,1.4948703,0.08336000144481659
-704273.8833308541,-2216268.584767365,-1350750.9772058483,1300.0,8,10400,False,41600,32,4,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-23-02,1710213782,250.07507133483887,1253.1433243751526,24869,COM2134,172.19.177.241,1253.1433243751526,41600,4,4,e71df748,0,-15749.038326414302,518.2398023605347,-5497.142473685253,115.45878533075336,6.298413227038328,0.8180419628692303,5615616,41600,293172.149,266.128,19580.819,95.465,24.703081232493,33.65126050420168,0.05000000074505806,8.440000237897038e-05,27114.266,-0.002599266,27114.383,-4.687854e-09,0.0067271125,1.5126714,0.07503999769687653
-660696.2151152927,-2216268.584767365,-1223487.6900999527,1300.0,8,10400,False,52000,40,5,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-27-10,1710214030,248.21932744979858,1501.3626518249512,24869,COM2134,172.19.177.241,1501.3626518249512,52000,5,4,e71df748,0,-15749.038326414302,518.2398023605347,-5236.972456286583,112.10928392807281,6.160300471779915,0.8153417035889193,6735616,52000,280971.861,250.674,18808.426,77.046,24.74745762711864,33.64491525423728,0.02500000037252903,7.919999916339293e-05,21873.488,-0.0022130786,21873.592,-8.440018e-09,0.0053792354,1.523116,0.06672000139951706
-628702.8197261865,-2216268.584767365,-1131499.8020076829,1300.0,8,10400,False,62400,48,6,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-31-09,1710214269,239.5463171005249,1740.908968925476,24869,COM2134,172.19.177.241,1740.908968925476,62400,6,4,e71df748,0,-15749.038326414302,518.2398023605347,-5017.273948856239,109.34237842144063,6.0467260999527666,0.8130722566355489,7838336,62400,271451.335,240.049,18236.581,64.871,24.780645161290323,33.71554252199414,0.012500000186264515,7.400000322377309e-05,19514.668,-0.0015818176,19514.758,-6.967136e-09,0.0029720897,1.5161086,0.058400001376867294
-539874.1000870827,-2216268.584767365,-1056131.6494655933,1300.0,8,10400,False,72800,56,7,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-35-02,1710214502,232.62174582481384,1973.53071475029,24869,COM2134,172.19.177.241,1973.53071475029,72800,7,4,e71df748,0,-15749.038326414302,518.2398023605347,-4833.94951941751,106.96105970895236,5.948798943436174,0.8110858540457977,8895744,72800,263740.656,230.662,17752.259,56.061,24.608132530120482,33.62469879518072,0.0062500000931322575,6.880000000819564e-05,17161.656,-0.0029799244,17161.736,-2.2511377e-09,0.0028266863,1.4829401,0.05008000135421753
-501744.5960391369,-2216268.584767365,-1000642.0255426152,1300.0,7,10400,False,83200,63,8,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-38-50,1710214730,228.04006719589233,2201.5707819461823,24869,COM2134,172.19.177.241,2201.5707819461823,83200,8,4,e71df748,0,-15749.038326414302,518.2398023605347,-4656.899431867087,105.12950105668074,5.872102563629658,0.8094870795004302,9946368,83200,257404.614,224.539,17369.133,49.46,24.74723926380368,33.58098159509203,0.0031250000465661287,6.359999679261819e-05,15335.188,-0.0030290277,15335.251,-4.923483e-09,0.004085283,1.4373841,0.041760001331567764
-424870.895125214,-2216268.584767365,-945671.6322237505,1300.0,8,10400,False,93600,71,9,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-42-33,1710214953,223.3757619857788,2424.946543931961,24869,COM2134,172.19.177.241,2424.946543931961,93600,9,4,e71df748,0,-15749.038326414302,518.2398023605347,-4488.147452398816,103.27154164878375,5.794221478838922,0.8076506094554252,10976640,93600,252004.115,218.416,17026.8,44.357,24.69119496855346,33.55597484276729,0.0015625000232830644,5.8400000852998346e-05,13160.134,-0.003714134,13160.184,-2.3104298e-09,0.0057210014,1.3720658,0.033440001308918
-377501.5378454971,-2216268.584767365,-893377.4779162771,1300.0,8,10400,False,104000,79,10,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-46-04,1710215164,210.17330622673035,2635.1198501586914,24869,COM2134,172.19.177.241,2635.1198501586914,104000,10,4,e71df748,0,-15749.038326414302,518.2398023605347,-4339.98405825765,101.58321953378378,5.723695285692331,0.8059907643608998,11935488,104000,246475.478,211.293,16644.029,40.194,24.817999999999998,33.52166666666667,0.0007812500116415322,5.32000012753997e-05,10009.049,-0.003749447,10009.085,-6.3097696e-09,0.00809484,1.304905,0.025119999423623085
-366149.1225469582,-2216268.584767365,-848941.0897385009,1300.0,8,10400,False,114400,87,11,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-49-46,1710215386,222.2997009754181,2857.4195511341095,24869,COM2134,172.19.177.241,2857.4195511341095,114400,11,4,e71df748,0,-15749.038326414302,518.2398023605347,-4158.8982942310695,100.08830296081037,5.661397104106437,0.8044937993211627,12949888,114400,230540.517,187.391,15571.163,3.201,24.61640378548896,33.52239747634069,0.0003906250058207661,4.999999873689376e-05,10297.319,-0.0031338942,10297.347,-4.2494164e-09,0.0074633406,1.2279326,0.019899999722838402
-292314.158875272,-2216268.584767365,-804497.0753948105,1300.0,8,10400,False,124800,95,12,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-53-03,1710215583,197.32859134674072,3054.74814248085,24869,COM2134,172.19.177.241,3054.74814248085,124800,12,4,e71df748,0,-15749.038326414302,518.2398023605347,-3980.1698866007177,98.70533500309818,5.603810301586947,0.803052114475817,13866240,124800,217787.562,175.659,14756.933,3.244,24.93617021276596,33.43652482269503,0.00019531250291038305,4.999999873689376e-05,7754.691,-0.0026778285,7754.716,-6.427544e-09,0.006439142,1.1519718,0.01964000053703785
-232745.04114693764,-2216268.584767365,-721249.2425901006,1300.0,8,10400,False,135200,103,13,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-56-14,1710215774,190.3634684085846,3245.111610889435,24869,COM2134,172.19.177.241,3245.111610889435,135200,13,4,e71df748,0,-15314.888260265812,566.1829483509064,-3652.634673301431,96.4128490601942,5.508940149593328,0.8008803975737286,14746112,135200,209700.229,167.231,14217.984,3.198,25.048529411764704,33.38419117647059,9.765625145519152e-05,4.999999873689376e-05,6625.153,-0.0026205855,6625.177,-4.439566e-09,0.0068463893,1.0884799,0.019379999488592148
-212015.49318125282,-1559448.9189592705,-594107.0017680347,1300.0,8,10400,False,145600,111,14,fe7c9bedcfb74fa483545d5f6d653038,2024-03-11_23-59-26,1710215966,192.04212999343872,3437.1537408828735,24869,COM2134,172.19.177.241,3437.1537408828735,145600,14,4,e71df748,0,-14345.133570443373,566.1829483509064,-3167.0504918600923,92.89932389847887,5.36155408981331,0.79770554559413,15626880,145600,204253.57,162.113,13871.148,3.187,24.818613138686132,33.560583941605834,4.882812572759576e-05,4.999999873689376e-05,5921.299,-0.0023421429,5921.321,-6.730535e-09,0.0066961027,1.0290554,0.019120000302791595
-181557.90783729765,-1165261.074238369,-504277.81204641034,1300.0,8,10400,False,156000,119,15,fe7c9bedcfb74fa483545d5f6d653038,2024-03-12_00-02-38,1710216158,191.8783552646637,3629.0320961475372,24869,COM2134,172.19.177.241,3629.0320961475372,156000,15,4,e71df748,0,-11921.984614767134,578.4967284202576,-2739.3004076615257,89.98688969971668,5.240426610195532,0.7945509583395055,16503936,156000,198995.787,157.552,13503.946,3.169,25.002197802197802,33.75714285714286,2.441406286379788e-05,4.999999873689376e-05,5589.04,-0.001970812,5589.06,-2.8706264e-09,0.0053572194,0.97817045,0.018859999254345894
